geoChatMessagesId,geoChatId,trailId,userId,userMessage,Flag
277831,0,1296201,199910,[[@1]]  Weekend challenge #42  : The Aquaholic Project,
359943,0,2014377,629063,Come and visit Iran and Isfahan and our cafe[[@42526]],
414454,0,2254376,1340803,Moti,
68670,0,698291,208239,@aryan.jambekar thank you,
115860,0,814176,208340,[[@85205]] yeh.. i posted on instagram. You can see their if you want. And thank you soo much for the complement. ?,
139752,0,866449,78651,"The pictures are so amazing, even the content! But the title could be a little more relevant you know :)",
139774,0,865655,136344,"Chal yaha jaate hai, chal waha jaate hai :D",
353872,0,1920185,87994,Hey! I loved your images but I didn't understand exactly how you felt going there. Some additional information would be great :D ,
376834,0,2228895,41056,Every single line of every single post took me to the next one! so interesting!,
394023,0,1910509,938610,Good phud,
457191,0,2269119,1893961,"Hello
9351658481",
13779,0,447841,4786,That video is awesome! :D,
145284,0,880300,79922,"i love your trails,Where to next? ",
162561,0,803909,136509,"The photos are just so cool, what camera do you use?",
168988,0,940246,82547,Dekhne mein mast lag rahi hai yeh jagah,
208026,0,1067936,321282,"[[@79443]] 
I also went to Gulmarg, Srinagar and Pehelgam.",
306307,0,1619804,499112,Thanks,
332520,0,1775183,78797,"The trail looks so amazing, just wish it would be a little more innovative!",
383648,0,2176971,809756,[[@576096]]  noo,
462911,0,2269162,2229158,Good image,
43418,0,641213,191624,Thanks @foodiecouple.pv  ?❤.I appreciate it?,
107527,0,773057,236420,Nice looking,
134900,0,853167,83960,"I came across this trail in such a hurry, and it was all cause the catchy title! ",
181581,0,97415,79671,"The photos are just so cool, what camera do you use?",
228163,0,1172056,45179,"Could you share more stories through another story, it seems very interesting",
262986,0,1366971,80322,"I've patiently gone through each and every picture, and all of them are praiseworthy!",
330755,0,1768526,81540,Awesome! I too am heading there next week,
350480,0,1888594,87600,"Awesome photos,videos would help describe those beautiful places i guess",
367409,0,2151918,77745,Picture on point! It'd be amazing to get more information on the routes that you followed!,
450139,0,2262233,1895748,Nice,
2493,8250,0,23,You do some amazing explorations! Keep going ☺️,
16745,223223,0,158122,This was a most romantic and fascinating place to visit. Somehow I felt like one of the princesses during that era. A good guide adds to the beauty of the place. A memorable experience,
81729,0,740007,40225,I myself have been to this place and your pictures brought back such good memories! How brilliant!,
119331,0,764405,40558,Sahi khel gaye tum toh,
359765,0,2011313,86197,"I am so trying this out soon, do you have any suggestions or tips?",
377769,0,2230084,83478,I myself have been to this place and your pictures brought back such good memories! How brilliant!,
403450,0,2299180,6885,Good job ,
443430,0,2317326,1733116,Can I fuck you,
206682,0,1064390,136534,"I just decided to utilize my money fixed in an account for this route, yes your trail inspired me that much!",
327602,0,1752604,42944,Nice Foto ?,
365493,0,2122633,625915,[[@1]],
383676,0,2260042,863850,Hello,
385775,0,2266088,796264,u r baby face,
412714,0,2340371,1033012,Happy holi,
8118,0,337013,111374,[[@1]],
141380,0,870397,83020,"love your trails, I'm planning to make one with video, do you have any tips?",
171972,0,950976,286196,[[@81155]] yes it was an amazing,
194798,0,452070,305052,[[@232106]] haha,
245760,0,1232799,81580,Amazing trail,
382058,0,2252449,699355,[[@1]],
413281,0,2265462,1236155,Hi,
430406,0,774061,47436,one of the 8th wonders of the world!,
16384,0,473704,140735,[[@1]],
190524,0,632523,292575,Wow,
195647,0,1014804,42574,"The pictures are so cool, wish there would've been a little more follower !",
275465,0,1440214,49522,"I have been to this place, and your pictures couldn't have done more justice to it!",
329852,0,1763837,44441,"Hey awesome experience, do you have any tips on camping in that area?",
396826,0,2288020,979449,Hi,
405601,0,2254669,447962,Nice,
45075,261956,0,190472,Tu thanyat Ali hotis tar call karaycha na,
48270,0,131271,194458,Suggestions please to do this,
64215,0,687975,83367,I have been wanting to go here! The pictures makes me want to go there but your content is a little tricky.,
143666,0,876678,244590,[[@1]],
269357,0,1405413,80660,Dum hai bhai!,
284499,0,1496988,79728,"Looks like you've travelled a lot. I am also planning a trip for myself now, When would be the best time to visit according to you??",
127100,0,472356,8311,Can this be done without a guide? And are we allowed to camp there?,
130032,0,838993,170779,"Chal yaha jaate hai, chal waha jaate hai :D",
131328,0,838928,250390,[[@33268]].am.aaryaasharma Pasighat town is a beautiful town also known as gateway to Arunachal. The town is surrounded by lush forests and mountains. Distance to Pasighat from assam capital Guwahati is aprx 580km.,
191225,0,991519,52462,"The title took me by surprise, but I kind of lost track of the routes in the content!",
