geoChatMessagesId,geoChatId,trailId,userId,userMessage,Flag
83310,0,111648,85158,Subahnaalah!,
117887,0,213943,80852,mast content h,
223367,0,1150373,41345,"Your trails are amazing, i think video would bring greater stories and experiences",
324896,0,1732651,535139,What else you want to know,
395085,0,2288782,14440,London is so Beautiful!!!,
5823,0,29398,55112,Wow,
108284,0,419338,124833,[[@186053]] my pleasure,
114428,0,791439,87713,Whoa! The images are crystal clear and so is the content!,
225340,0,1162594,78990,"Hey the trail is amazing, could you give some info?",
233521,0,1180252,356169,Thank you to all of you for your comments and I post my trail today so keep supporting thank u,
234179,0,1186931,358209,Kolhapur,
324081,0,1719361,530951,[[@87050]]  thank yoi,
420218,0,2353369,23283,tasty af!!,
29080,0,607317,180659,"[[@19872]] yeah.. it was an amazing experience and about the camping, I surely had an amazing night in that dense forest next to my stay but I didn’t have any proper camping experience over there",
35670,0,605169,180985,[[@78237]] surely bro..,
66146,0,695150,81439,Looks like a fun place! I think I might visit and shoot some vlogs there!!,
161789,0,922796,85896,"Amazing trail, could share some videos of the same",
174045,0,957258,77973,"I too am a backpacker like you, do you have any insights on cheap travel?",
190229,0,985348,18456,The title was so quirky it truely encouraged me to go through your Trail in details! great!,
221496,0,1140625,19689,The content of the trail is so interesting! This is perfect to enthused a traveller!,
269167,0,1403978,77041,"I too had been to the same place, such an amazing experience! where are oyu off to next?",
300561,0,1585891,488355,I wll post soon guys..!,
300707,0,1587901,462178,Amazing,
423562,0,2244522,17374,the trip continues,
424292,0,2317208,36009,really cool,
442831,0,2281802,1718819,I miss you,
39614,0,626448,187280,[[@81641]] thank you please visit ??,
77651,0,695375,45862,"This trail looks really nice, but I wish there could be more information about it!",
124950,0,826971,52678,Good ,
144094,0,876655,261156,Thanks,
194498,0,1000568,301564,Which content,
245134,2058,0,368451,???,
338593,0,1806078,86547,"Must appreciate your photography skills, but you lost me with the content bit. ",
355796,0,1942811,82742,This looks amazing ❤️,
418950,0,2288525,1464360,Hi,
121643,0,53194,79988,"Looks like you've travelled a lot. I am also planning a trip for myself now, When would be the best time to visit according to you??",
142509,0,873721,40896,"Your trail reminded me of an old book i'd read, maybe you could share some videos of the place",
244596,0,1225909,366743,[[@43115]] I don't have a fixed destination most of my trips goes random. Do you wanna join,
261430,0,1356860,43687,This trail is ingenious! brilliant work!,
261586,907507,0,372651,U increase the beauty of  the pic...,
278520,0,1458297,80077,Subahnaalah!,
297363,0,1573623,78252,"Hey the trail is amazing, could you give some info?",
383460,0,2215248,821565,[[@836345]] hi,
444236,0,2265605,1748543,Good,
124421,0,826394,84885,"Hey thats so informative and amazing, could you give more details?",
218905,0,1127256,41133,This Trail made me contemplate about my next trip to the beaches! wonderful!,
394846,0,2123941,960950,45,
412993,0,2264254,1349171,Vvv nice,
442182,0,2283357,1680642,????,
19548,0,585539,50454,Super se bhi uper!,
46504,0,647867,81454,Brilliant trail! what pictures!,
148378,0,879129,263236,[[@86180]] ACTUALLY I WOULD LOVE YO SHARE VIDEOS BUT UNFORTUNETLY I LOST MY DATA I'M ONLY LEFT WITH FEW PICTURES ONLY,
148586,0,889501,79078,"The title took me by surprise, but I kind of lost track of the routes in the content!",
159662,0,517062,154323,[[@79285]] it's nice,
191074,0,993407,84415,Amazing content ❤️❤️,
226525,0,1167549,352231,[[@49537]] i have uploaded one more..u can check,
440915,0,2380525,1631063,Hi,
19790,0,585475,77516,I myself have been to this place and your pictures brought back such good memories! How brilliant!,
50706,319822,0,141170,?????,
87655,0,742266,220356,[[@81498]]  this place is deserve,
88502,0,750342,76710,Cool one ??,
132005,0,845728,81181,loved your stories! wondering what your next trail would be?,
161943,0,923698,41591,"I love the way you've described your stories, when will you post next trail ",
171497,0,950911,41014,Nice ?,
179134,0,212373,45526,Kya mast hai bhai,
262458,0,1364986,19982,Amazing content ❤️❤️,
328745,1291596,0,466330,I m also interested,
